KOD_ZSJ,CENTROID_X,CENTROID_Y,REPRESENTATIVE_POINT_X,REPRESENTATIVE_POINT_Y
132136,14.481629407394149,50.06112286314254,14.48202162138296,50.060511273521186
132144,14.484366668703748,50.06270643372402,14.484316471118461,50.06250647509067
132152,14.47473503094602,50.059848191437716,14.474181980170409,50.05964929968651
132161,14.47163336203183,50.06322529337199,14.471826196855048,50.06329148145068
132179,14.465866696775745,50.06334961639771,14.465725767869369,50.06332348182828
132187,14.466270099614269,50.06149577030961,14.466652786720294,50.06155013958464
132195,14.465171364967288,50.058898627824895,14.465120551403611,50.05898052621032
132209,14.460254073838149,50.062178331803324,14.458093441390579,50.0622399781315
132217,14.462981808380434,50.0687601559013,14.463767423765711,50.06891685080758
132225,14.45516371320877,50.06493231729701,14.455006068061211,50.0650517493023
132233,14.448371179650854,50.064173413464985,14.447881131909067,50.06422085137861
132241,14.451418016533772,50.067639797002975,14.453428210895584,50.068227064473376
132250,14.457073857951432,50.06984359295805,14.456813266054635,50.06998187304956
132268,14.448259492866947,50.07094481833273,14.448231550059065,50.07083783174893
132276,14.444522030120284,50.071928008592735,14.444696376381158,50.07200013438957
132284,14.456829093568409,50.071761417896184,14.455916268271952,50.07185926777149
132292,14.465956128592437,50.07133345513923,14.465315905728868,50.07099072232323
132306,14.458975947188508,50.07376441072452,14.46438163200363,50.07407288931432
132314,14.455185015635328,50.07476510474581,14.454064268628784,50.074599314092914
132322,14.476469688264586,50.0677247786661,14.476009727703634,50.067799139425695
132331,14.47327135169973,50.07110930771303,14.473797110454974,50.071105783530186
132349,14.479901277066958,50.07192669330322,14.481024882957191,50.07172845387565
132357,14.478376980823557,50.07517743955471,14.4769701148192,50.07516237374702
132365,14.486251924522602,50.069463411525284,14.48606056562432,50.06894094540744
132373,14.489478233387027,50.07439644035587,14.48972682811455,50.07416411474685
132381,14.485228235963042,50.07403405576998,14.484876940797209,50.07427475832915
132390,14.483621504170362,50.07888972218056,14.482764379840091,50.07892069853007
132403,14.476905941627164,50.07872138609637,14.476926462450578,50.078763704638305
132411,14.48854126358077,50.081373054600725,14.486778412378046,50.08153518959928
132420,14.496813085617687,50.07790495734761,14.496920082784591,50.07792800732446
132438,14.499563406004707,50.082921512533275,14.49686916886488,50.08344709199185
132446,14.493993427353315,50.08167143541565,14.49250555453797,50.08287519657521
132454,14.506386214575882,50.08675773381431,14.50703102047792,50.086337871802485
132462,14.528138783264152,50.08743921970846,14.526764093059262,50.087384526436914
132471,14.529667781764411,50.0890992044864,14.529643276649573,50.08917714101064
132489,14.546553034971998,50.0782101513154,14.545240904378165,50.077398231310184
132501,14.527299593354577,50.08104664678229,14.526991462455165,50.08020573896849
132519,14.550657646744874,50.072643541066014,14.549291955988485,50.072852688260696
132527,14.559337913247715,50.06687611510673,14.558131413167297,50.06674233365848
132543,14.558054459251572,50.05806038617196,14.557231382162115,50.05840769691346
132551,14.5689169927521,50.05904287519436,14.57061969284378,50.05942501308232
132560,14.573943711957535,50.04840635651912,14.575543418970533,50.04807652743956
132578,14.568231445014137,50.045351223875656,14.568687521638003,50.04487278242465
132586,14.558476581157612,50.045912324770164,14.557338870555077,50.04589253307735
132594,14.563849168622767,50.04157514456996,14.562135805820176,50.042168569079074
132608,14.561151137479204,50.03441846122231,14.56332790871376,50.03544282285781
132616,14.556276476035624,50.036654488773266,14.557108632103516,50.0364642341788
132624,14.533609580730793,50.042372383002,14.53386944510855,50.04356338265567
134376,14.297000020514304,50.1202872551403,14.299078715659547,50.12124675755874
138614,14.325411116635133,50.00237222899313,14.325473610423648,50.003290206731464
138622,14.363793730380205,49.99021086966207,14.366956173166995,49.990871891930325
145246,14.340413398290918,50.03849614289932,14.339885508128024,50.03898969697158
145254,14.31299582326969,50.03339091967011,14.31016167656902,50.03294060021135
145262,14.331084078878469,50.03715873689321,14.331024388240934,50.03704050359879
145271,14.314336490372623,50.0084278726461,14.315447604154825,50.009037156113635
146137,14.572607173157966,50.125947147709994,14.572685401055823,50.12610897463204
150576,14.352374171508249,50.027916135730514,14.35177999558249,50.027715500322316
150584,14.36817862186306,50.0274649562033,14.368442981968691,50.02783865949287
150592,14.358779983265192,50.01928620570823,14.357702802106925,50.019652681973994
150606,14.3508653347167,50.010275594457106,14.351926170920645,50.010764044971296
155527,14.321364607113779,50.06163163551512,14.32042918508242,50.06181541594484
155535,14.334830498892392,50.05735964583718,14.335348542490575,50.057501439955686
155543,14.321648166183676,50.050995229285576,14.324416655363635,50.05100892130852
162124,14.514934539684605,49.9978459253014,14.519263381295893,49.99804460341659
162132,14.513330254964094,50.014232726846735,14.512822076196741,50.01416848073245
170348,14.29385657466665,50.04623005358749,14.293888908354004,50.046459387039896
170356,14.281885717129166,50.04619608965869,14.28076247587035,50.046498857234326
173398,14.627020805317766,50.050525939782375,14.628602993069702,50.05006872339388
173410,14.582207495537153,50.020519828901634,14.582560547992383,50.02026983400673
173428,14.597333616889847,50.03196878033842,14.602580466117923,50.031805045759214
173771,14.659061696881544,50.076851593674455,14.664741055348632,50.07720645642612
173983,14.522634994556782,50.01956501878259,14.521137760229959,50.019469177262806
173991,14.546511153494434,50.01282261922444,14.5467493685539,50.01324270781548
182371,14.581468707517425,50.14709586415461,14.579402411700778,50.146418377360575
